protein	protein	Sample1_01	Sample1_02	Sample1_03	Sample2_01	Sample2_02	Sample2_03	Sample1	Sample2	protein-log2	Sample1_01-log2	Sample1_02-log2	Sample1_03-log2	Sample2_01-log2	Sample2_02-log2	Sample2_03-log2	Sample1-log2	Sample2-log2	p	p threshold	Significant	ratio	sum	log2_sum	log2_ratio
NP_001258983	43761	0	0	0	8	5	4	0.0	5.666666666666667	15.417358085654255	-inf	-inf	-inf	3.0	2.321928094887362	2.0		2.5025003405291835	0.0	2.9850746268656717e-05	True	1024.0	5.666666666666667	2.5025003405291835	10.0
NP_066967	158006	3	4	4	0	0	0	3.6666666666666665	0.0	17.269619817686607	1.5849625007211563	2.0	2.0	-inf	-inf	-inf	1.8744691179161412		0.0	3.256445047489824e-05	True	0.0009765625	3.6666666666666665	1.8744691179161412	-10.0
NP_066979	79039	2	2	1	0	0	0	1.6666666666666667	0.0	16.270277073635917	1.0	1.0	0.0	-inf	-inf	-inf	0.7369655941662062		0.0	3.527815468113976e-05	True	0.0009765625	1.6666666666666667	0.7369655941662062	-10.0
NP_066997	513877	9	14	12	0	0	0	11.666666666666666	0.0	18.97106355617999	3.1699250014423126	3.8073549220576037	3.5849625007211565	-inf	-inf	-inf	3.5443205162238103		0.0	3.799185888738128e-05	True	0.0009765625	11.666666666666666	3.5443205162238103	-10.0
NP_001258539	57442	1	8	2	0	0	0	3.6666666666666665	0.0	15.809818360950139	0.0	3.0	1.0	-inf	-inf	-inf	1.8744691179161412		0.0	4.070556309362279e-05	True	0.0009765625	3.6666666666666665	1.8744691179161412	-10.0
NP_066925	118026	3	5	1	0	0	0	3.0	0.0	16.84874518096634	1.5849625007211563	2.321928094887362	0.0	-inf	-inf	-inf	1.5849625007211563		0.0	4.3419267299864316e-05	True	0.0009765625	3.0	1.5849625007211563	-10.0
NP_065143	155234	0	0	0	3	2	2	0.0	2.3333333333333335	17.244085051673522	-inf	-inf	-inf	1.5849625007211563	1.0	1.0		1.222392421336448	0.0	4.613297150610584e-05	True	1024.0	2.3333333333333335	1.222392421336448	10.0
NP_001124146	45159	10	4	9	0	0	0	7.666666666666667	0.0	15.462725919003715	3.3219280948873626	2.0	3.1699250014423126	-inf	-inf	-inf	2.938599455335857		0.0	4.884667571234735e-05	True	0.0009765625	7.666666666666667	2.938599455335857	-10.0
NP_001296	30629	9	9	7	0	0	0	8.333333333333334	0.0	14.902610644997852	3.1699250014423126	3.1699250014423126	2.807354922057604	-inf	-inf	-inf	3.0588936890535687		0.0	5.156037991858887e-05	True	0.0009765625	8.333333333333334	3.0588936890535687	-10.0
NP_690866	807741	13	43	9	0	0	0	21.666666666666668	0.0	19.623533245241344	3.700439718141092	5.426264754702098	3.1699250014423126	-inf	-inf	-inf	4.437405312307299		0.0	5.4274084124830395e-05	True	0.0009765625	21.666666666666668	4.437405312307299	-10.0
NP_690865	134592	0	0	0	6	11	9	0.0	8.666666666666666	17.03823313473178	-inf	-inf	-inf	2.584962500721156	3.4594316186372978	3.1699250014423126		3.1154772174199357	0.0	5.698778833107191e-05	True	1024.0	8.666666666666666	3.1154772174199357	10.0
NP_689953	1075452	20	57	22	0	0	0	33.0	0.0	20.03651170458508	4.321928094887363	5.832890014164742	4.459431618637297	-inf	-inf	-inf	5.044394119358453		0.0	5.9701492537313435e-05	True	0.0009765625	33.0	5.044394119358453	-10.0
NP_001345	46393	5	4	3	0	0	0	4.0	0.0	15.50161952052448	2.321928094887362	2.0	1.5849625007211563	-inf	-inf	-inf	2.0		0.0	6.241519674355495e-05	True	0.0009765625	4.0	2.0	-10.0
NP_001344	77296	5	8	4	0	0	0	5.666666666666667	0.0	16.238106137432077	2.321928094887362	3.0	2.0	-inf	-inf	-inf	2.5025003405291835		0.0	6.512890094979647e-05	True	0.0009765625	5.666666666666667	2.5025003405291835	-10.0
NP_689880	223920	6	4	4	0	0	0	4.666666666666667	0.0	17.772623866460275	2.584962500721156	2.0	2.0	-inf	-inf	-inf	2.222392421336448		0.0	6.7842605156038e-05	True	0.0009765625	4.666666666666667	2.222392421336448	-10.0
NP_689798	44773	5	7	7	0	0	0	6.333333333333333	0.0	15.45034136833186	2.321928094887362	2.807354922057604	2.807354922057604	-inf	-inf	-inf	2.662965012722429		0.0	7.055630936227952e-05	True	0.0009765625	6.333333333333333	2.662965012722429	-10.0
NP_689735	44768	1	1	1	0	0	0	1.0	0.0	15.450180247164756	0.0	0.0	0.0	-inf	-inf	-inf	0.0		0.0	7.327001356852103e-05	True	0.0009765625	1.0	0.0	-10.0
NP_064709	116060	2	5	2	0	0	0	3.0	0.0	16.82451130844072	1.0	2.321928094887362	1.0	-inf	-inf	-inf	1.5849625007211563		0.0	7.598371777476255e-05	True	0.0009765625	3.0	1.5849625007211563	-10.0
NP_689622	178954	0	0	0	2	4	2	0.0	2.6666666666666665	17.44922926583385	-inf	-inf	-inf	1.0	2.0	1.0		1.4150374992788437	0.0	7.869742198100406e-05	True	1024.0	2.6666666666666665	1.4150374992788437	10.0
NP_689529	178754	5	5	2	0	0	0	4.0	0.0	17.447616000051454	2.321928094887362	2.321928094887362	1.0	-inf	-inf	-inf	2.0		0.0	8.141112618724559e-05	True	0.0009765625	4.0	2.0	-10.0
NP_001319	46242	0	0	0	1	1	1	0.0	1.0	15.496916176343131	-inf	-inf	-inf	0.0	0.0	0.0		0.0	0.0	8.412483039348711e-05	True	1024.0	1.0	0.0	10.0
NP_001123539	22437	3	1	1	0	0	0	1.6666666666666667	0.0	14.453592168933815	1.5849625007211563	0.0	0.0	-inf	-inf	-inf	0.7369655941662062		0.0	8.683853459972863e-05	True	0.0009765625	1.6666666666666667	0.7369655941662062	-10.0
NP_001123552	7482	0	0	0	3	3	8	0.0	4.666666666666667	12.869208250550827	-inf	-inf	-inf	1.5849625007211563	1.5849625007211563	3.0		2.222392421336448	0.0	8.955223880597016e-05	True	1024.0	4.666666666666667	2.222392421336448	10.0
NP_001123579	29944	4	3	5	0	0	0	4.0	0.0	14.86997933289996	2.0	1.5849625007211563	2.321928094887362	-inf	-inf	-inf	2.0		0.0	9.226594301221168e-05	True	0.0009765625	4.0	2.0	-10.0
NP_001258538	43068	1	6	2	0	0	0	3.0	0.0	15.394328708537236	0.0	2.584962500721156	1.0	-inf	-inf	-inf	1.5849625007211563		0.0	9.49796472184532e-05	True	0.0009765625	3.0	1.5849625007211563	-10.0
NP_064633	115983	3	1	2	0	0	0	2.0	0.0	16.823553834849825	1.5849625007211563	0.0	1.0	-inf	-inf	-inf	1.0		0.0	9.76933514246947e-05	True	0.0009765625	2.0	1.0	-10.0
NP_001129147	39255	0	0	0	12	9	16	0.0	12.333333333333334	15.260588804656553	-inf	-inf	-inf	3.5849625007211565	3.1699250014423126	4.0		3.6244908649077936	0.0	0.00010040705563093622	True	1024.0	12.333333333333334	3.6244908649077936	10.0
NP_067027	633368	17	37	12	0	0	0	22.0	0.0	19.272684453568736	4.08746284125034	5.20945336562895	3.5849625007211565	-inf	-inf	-inf	4.459431618637297		0.0	0.00010312075983717774	True	0.0009765625	22.0	4.459431618637297	-10.0
NP_073567	320252	6	17	3	0	0	0	8.666666666666666	0.0	18.288848054780697	2.584962500721156	4.08746284125034	1.5849625007211563	-inf	-inf	-inf	3.1154772174199357		0.0	0.00010583446404341927	True	0.0009765625	8.666666666666666	3.1154772174199357	-10.0
NP_665683	132982	1	1	2	0	0	0	1.3333333333333333	0.0	17.020871454989127	0.0	0.0	1.0	-inf	-inf	-inf	0.4150374992788437		0.0	0.00010854816824966079	True	0.0009765625	1.3333333333333333	0.4150374992788437	-10.0
NP_008826	224322	3	14	1	0	0	0	6.0	0.0	17.775211591670896	1.5849625007211563	3.8073549220576037	0.0	-inf	-inf	-inf	2.584962500721156		0.0	0.00011126187245590231	True	0.0009765625	6.0	2.584962500721156	-10.0
NP_073568	160150	2	5	6	0	0	0	4.333333333333333	0.0	17.28906427254941	1.0	2.321928094887362	2.584962500721156	-inf	-inf	-inf	2.115477217419936		0.0	0.00011397557666214382	True	0.0009765625	4.333333333333333	2.115477217419936	-10.0
NP_001253974	331963	25	49	13	0	0	0	29.0	0.0	18.34066292477044	4.643856189774724	5.614709844115208	3.700439718141092	-inf	-inf	-inf	4.857980995127573		0.0	0.00011668928086838535	True	0.0009765625	29.0	4.857980995127573	-10.0
NP_660295	530430	60	60	46	0	0	0	55.333333333333336	0.0	19.016802847977935	5.906890595608519	5.906890595608519	5.523561956057013	-inf	-inf	-inf	5.790076930625769		0.0	0.00011940298507462687	True	0.0009765625	55.333333333333336	5.790076930625769	-10.0
NP_071905	119901	4	1	2	0	0	0	2.3333333333333335	0.0	16.871484165624516	2.0	0.0	1.0	-inf	-inf	-inf	1.222392421336448		0.0	0.00012211668928086838	True	0.0009765625	2.3333333333333335	1.222392421336448	-10.0
NP_660202	176706	0	0	0	3	1	5	0.0	3.0	17.430991501441707	-inf	-inf	-inf	1.5849625007211563	0.0	2.321928094887362		1.5849625007211563	0.0	0.0001248303934871099	True	1024.0	3.0	1.5849625007211563	10.0
NP_660156	132469	3	1	1	0	0	0	1.6666666666666667	0.0	17.015295258422878	1.5849625007211563	0.0	0.0	-inf	-inf	-inf	0.7369655941662062		0.0	0.00012754409769335143	True	0.0009765625	1.6666666666666667	0.7369655941662062	-10.0
NP_001253	27633	0	0	0	1	1	2	0.0	1.3333333333333333	14.754104577609121	-inf	-inf	-inf	0.0	0.0	1.0		0.4150374992788437	0.0	0.00013025780189959295	True	1024.0	1.3333333333333333	0.4150374992788437	10.0
NP_659500	88275	0	0	0	4	2	3	0.0	3.0	16.429717295534328	-inf	-inf	-inf	2.0	1.0	1.5849625007211563		1.5849625007211563	0.0	0.00013297150610583447	True	1024.0	3.0	1.5849625007211563	10.0
NP_001248753	41421	6	10	3	0	0	0	6.333333333333333	0.0	15.338074763567212	2.584962500721156	3.3219280948873626	1.5849625007211563	-inf	-inf	-inf	2.662965012722429		0.0	0.000135685210312076	True	0.0009765625	6.333333333333333	2.662965012722429	-10.0
NP_001248394	41412	2	2	2	0	0	0	2.0	0.0	15.337761259156672	1.0	1.0	1.0	-inf	-inf	-inf	1.0		0.0	0.00013839891451831752	True	0.0009765625	2.0	1.0	-10.0
NP_001136037	24894	1	6	2	0	0	0	3.0	0.0	14.603510442592807	0.0	2.584962500721156	1.0	-inf	-inf	-inf	1.5849625007211563		0.0	0.00014111261872455904	True	0.0009765625	3.0	1.5849625007211563	-10.0
NP_001253968	27637	1	1	1	0	0	0	1.0	0.0	14.754313399037514	0.0	0.0	0.0	-inf	-inf	-inf	0.0		0.0	0.00014382632293080054	True	0.0009765625	1.0	0.0	-10.0
NP_001129970	40260	0	0	0	6	7	6	0.0	6.333333333333333	15.297059551808703	-inf	-inf	-inf	2.584962500721156	2.807354922057604	2.584962500721156		2.662965012722429	0.0	0.00014654002713704206	True	1024.0	6.333333333333333	2.662965012722429	10.0
NP_071894	119883	0	0	0	2	2	3	0.0	2.3333333333333335	16.871267566428703	-inf	-inf	-inf	1.0	1.0	1.5849625007211563		1.222392421336448	0.0	0.00014925373134328358	True	1024.0	2.3333333333333335	1.222392421336448	10.0
NP_001129966	32174	4	5	3	0	0	0	4.0	0.0	14.973607688291903	2.0	2.321928094887362	1.5849625007211563	-inf	-inf	-inf	2.0		0.0	0.0001519674355495251	True	0.0009765625	4.0	2.0	-10.0
NP_067038	158406	2	1	2	0	0	0	1.6666666666666667	0.0	17.273267456358795	1.0	0.0	1.0	-inf	-inf	-inf	0.7369655941662062		0.0	0.00015468113975576663	True	0.0009765625	1.6666666666666667	0.7369655941662062	-10.0
NP_001257944	71035	0	0	0	1	6	5	0.0	4.0	16.116242416627827	-inf	-inf	-inf	0.0	2.584962500721156	2.321928094887362		2.0	0.0	0.00015739484396200813	True	1024.0	4.0	2.0	10.0
NP_001257906	70985	2	4	3	0	0	0	3.0	0.0	16.11522657723866	1.0	2.0	1.5849625007211563	-inf	-inf	-inf	1.5849625007211563		0.0	0.00016010854816824965	True	0.0009765625	3.0	1.5849625007211563	-10.0
NP_001257905	70960	2	4	3	0	0	0	3.0	0.0	16.114718389188425	1.0	2.0	1.5849625007211563	-inf	-inf	-inf	1.5849625007211563		0.0	0.00016282225237449117	True	0.0009765625	3.0	1.5849625007211563	-10.0
NP_001129488	23820	3	1	2	0	0	0	2.0	0.0	14.539885792751475	1.5849625007211563	0.0	1.0	-inf	-inf	-inf	1.0		0.0	0.0001655359565807327	True	0.0009765625	2.0	1.0	-10.0
NP_001257904	70935	2	4	3	0	0	0	3.0	0.0	16.114210022066324	1.0	2.0	1.5849625007211563	-inf	-inf	-inf	1.5849625007211563		0.0	0.00016824966078697422	True	0.0009765625	3.0	1.5849625007211563	-10.0
NP_001129512	23880	1	6	2	0	0	0	3.0	0.0	14.54351521615217	0.0	2.584962500721156	1.0	-inf	-inf	-inf	1.5849625007211563		0.0	0.00017096336499321574	True	0.0009765625	3.0	1.5849625007211563	-10.0
NP_001129601	7968	1	1	2	0	0	0	1.3333333333333333	0.0	12.960001932068081	0.0	0.0	1.0	-inf	-inf	-inf	0.4150374992788437		0.0	0.00017367706919945726	True	0.0009765625	1.3333333333333333	0.4150374992788437	-10.0
NP_001257810	28287	2	3	3	0	0	0	2.6666666666666665	0.0	14.787851558241064	1.0	1.5849625007211563	1.5849625007211563	-inf	-inf	-inf	1.4150374992788437		0.0	0.0001763907734056988	True	0.0009765625	2.6666666666666665	1.4150374992788437	-10.0
NP_001257809	28283	2	3	3	0	0	0	2.6666666666666665	0.0	14.787647535608107	1.0	1.5849625007211563	1.5849625007211563	-inf	-inf	-inf	1.4150374992788437		0.0	0.0001791044776119403	True	0.0009765625	2.6666666666666665	1.4150374992788437	-10.0
NP_001257700	28221	1	4	2	0	0	0	2.3333333333333335	0.0	14.78448148971992	0.0	2.0	1.0	-inf	-inf	-inf	1.222392421336448		0.0	0.00018181818181818183	True	0.0009765625	2.3333333333333335	1.222392421336448	-10.0
NP_068814	238591	0	0	0	13	12	14	0.0	13.0	17.864180097938277	-inf	-inf	-inf	3.700439718141092	3.5849625007211565	3.8073549220576037		3.700439718141092	0.0	0.00018453188602442336	True	1024.0	13.0	3.700439718141092	10.0
NP_071334	79687	1	2	1	0	0	0	1.3333333333333333	0.0	16.28205676417573	0.0	1.0	0.0	-inf	-inf	-inf	0.4150374992788437		0.0	0.00018724559023066488	True	0.0009765625	1.3333333333333333	0.4150374992788437	-10.0
NP_071415	398885	0	0	0	11	7	11	0.0	9.666666666666666	18.60561334658964	-inf	-inf	-inf	3.4594316186372978	2.807354922057604	3.4594316186372978		3.273018494406416	0.0	0.0001899592944369064	True	1024.0	9.666666666666666	3.273018494406416	10.0
NP_001129951	32158	13	26	26	0	0	0	21.666666666666668	0.0	14.972890063435528	3.700439718141092	4.700439718141093	4.700439718141093	-inf	-inf	-inf	4.437405312307299		0.0	0.0001926729986431479	True	0.0009765625	21.666666666666668	4.437405312307299	-10.0
NP_671692	533238	23	28	21	0	0	0	24.0	0.0	19.02442006892617	4.523561956057013	4.807354922057604	4.392317422778761	-inf	-inf	-inf	4.584962500721157		0.0	0.0001953867028493894	True	0.0009765625	24.0	4.584962500721157	-10.0
NP_001248393	41403	2	2	2	0	0	0	2.0	0.0	15.337447686605344	1.0	1.0	1.0	-inf	-inf	-inf	1.0		0.0	0.00019810040705563092	True	0.0009765625	2.0	1.0	-10.0
NP_064617	463530	23	28	21	0	0	0	24.0	0.0	18.822303188585593	4.523561956057013	4.807354922057604	4.392317422778761	-inf	-inf	-inf	4.584962500721157		0.0	0.00020081411126187244	True	0.0009765625	24.0	4.584962500721157	-10.0
NP_001377	156455	7	17	13	0	0	0	12.333333333333334	0.0	17.255388239502953	2.807354922057604	4.08746284125034	3.700439718141092	-inf	-inf	-inf	3.6244908649077936		0.0	0.00020352781546811397	True	0.0009765625	12.333333333333334	3.6244908649077936	-10.0
NP_002344	38139	2	1	2	0	0	0	1.6666666666666667	0.0	15.2189793964053	1.0	0.0	1.0	-inf	-inf	-inf	0.7369655941662062		0.0	0.0002062415196743555	True	0.0009765625	1.6666666666666667	0.7369655941662062	-10.0
NP_001182122	22315	1	2	4	0	0	0	2.3333333333333335	0.0	14.445726186139218	0.0	1.0	2.0	-inf	-inf	-inf	1.222392421336448		0.0	0.000208955223880597	True	0.0009765625	2.3333333333333335	1.222392421336448	-10.0
NP_778225	45770	4	2	2	0	0	0	2.6666666666666665	0.0	15.482114671488024	2.0	1.0	1.0	-inf	-inf	-inf	1.4150374992788437		0.0	0.00021166892808683853	True	0.0009765625	2.6666666666666665	1.4150374992788437	-10.0
NP_001091112	6374	0	0	0	3	4	1	0.0	2.6666666666666665	12.637983303777853	-inf	-inf	-inf	1.5849625007211563	2.0	0.0		1.4150374992788437	0.0	0.00021438263229308006	True	1024.0	2.6666666666666665	1.4150374992788437	10.0
NP_060351	188000	0	0	0	5	5	2	0.0	4.0	17.520373136339725	-inf	-inf	-inf	2.321928094887362	2.321928094887362	1.0		2.0	0.0	0.00021709633649932158	True	1024.0	4.0	2.0	10.0
NP_002291	133045	6	9	7	0	0	0	7.333333333333333	0.0	17.021554767504586	2.584962500721156	3.1699250014423126	2.807354922057604	-inf	-inf	-inf	2.8744691179161412		0.0	0.0002198100407055631	True	0.0009765625	7.333333333333333	2.8744691179161412	-10.0
NP_778250	320929	5	12	8	0	0	0	8.333333333333334	0.0	18.29189463571694	2.321928094887362	3.5849625007211565	3.0	-inf	-inf	-inf	3.0588936890535687		0.0	0.00022252374491180463	True	0.0009765625	8.333333333333334	3.0588936890535687	-10.0
NP_002266	207248	25	13	16	0	0	0	18.0	0.0	17.660998653822475	4.643856189774724	3.700439718141092	4.0	-inf	-inf	-inf	4.169925001442312		0.0	0.00022523744911804615	True	0.0009765625	18.0	4.169925001442312	-10.0
NP_777615	45749	0	0	0	3	3	1	0.0	2.3333333333333335	15.481452588283654	-inf	-inf	-inf	1.5849625007211563	1.5849625007211563	0.0		1.222392421336448	0.0	0.00022795115332428765	True	1024.0	2.3333333333333335	1.222392421336448	10.0
NP_060470	150690	0	0	0	2	1	4	0.0	2.3333333333333335	17.201224155280347	-inf	-inf	-inf	1.0	0.0	2.0		1.222392421336448	0.0	0.00023066485753052917	True	1024.0	2.3333333333333335	1.222392421336448	10.0
NP_777614	45748	0	0	0	3	3	1	0.0	2.3333333333333335	15.481421052931873	-inf	-inf	-inf	1.5849625007211563	1.5849625007211563	0.0		1.222392421336448	0.0	0.0002333785617367707	True	1024.0	2.3333333333333335	1.222392421336448	10.0
NP_777613	91491	0	0	0	6	5	1	0.0	4.0	16.481342211536514	-inf	-inf	-inf	2.584962500721156	2.321928094887362	0.0		2.0	0.0	0.00023609226594301222	True	1024.0	4.0	2.0	10.0
NP_060534	150870	1	7	5	0	0	0	4.333333333333333	0.0	17.202946433687302	0.0	2.807354922057604	2.321928094887362	-inf	-inf	-inf	2.115477217419936		0.0	0.00023880597014925374	True	0.0009765625	4.333333333333333	2.115477217419936	-10.0
NP_060560	226377	2	11	4	0	0	0	5.666666666666667	0.0	17.78836786161926	1.0	3.4594316186372978	2.0	-inf	-inf	-inf	2.5025003405291835		0.0	0.00024151967435549526	True	0.0009765625	5.666666666666667	2.5025003405291835	-10.0
NP_777616	45750	0	0	0	3	3	1	0.0	2.3333333333333335	15.48148412294613	-inf	-inf	-inf	1.5849625007211563	1.5849625007211563	0.0		1.222392421336448	0.0	0.00024423337856173676	True	1024.0	2.3333333333333335	1.222392421336448	10.0
NP_060313	112668	0	0	0	3	3	2	0.0	2.6666666666666665	16.781718293436185	-inf	-inf	-inf	1.5849625007211563	1.5849625007211563	1.0		1.4150374992788437	0.0	0.0002469470827679783	True	1024.0	2.6666666666666665	1.4150374992788437	10.0
NP_060302	150090	1	4	1	0	0	0	2.0	0.0	17.195468332601223	0.0	2.0	0.0	-inf	-inf	-inf	1.0		0.0	0.0002496607869742198	True	0.0009765625	2.0	1.0	-10.0
NP_001077393	43820	9	15	6	0	0	0	10.0	0.0	15.419301863877585	3.1699250014423126	3.9068905956085187	2.584962500721156	-inf	-inf	-inf	3.3219280948873626		0.0	0.00025237449118046135	True	0.0009765625	10.0	3.3219280948873626	-10.0
NP_060040	261324	0	0	0	5	1	4	0.0	3.3333333333333335	17.99548010231314	-inf	-inf	-inf	2.321928094887362	0.0	2.0		1.7369655941662063	0.0	0.00025508819538670285	True	1024.0	3.3333333333333335	1.7369655941662063	10.0
NP_787083	229805	0	0	0	13	14	13	0.0	13.333333333333334	17.81005066231087	-inf	-inf	-inf	3.700439718141092	3.8073549220576037	3.700439718141092		3.7369655941662066	0.0	0.0002578018995929444	True	1024.0	13.333333333333334	3.7369655941662066	10.0
NP_002472	38897	0	0	0	1	2	1	0.0	1.3333333333333333	15.247371268642048	-inf	-inf	-inf	0.0	1.0	0.0		0.4150374992788437	0.0	0.0002605156037991859	True	1024.0	1.3333333333333333	0.4150374992788437	10.0
NP_002461	77389	0	0	0	7	7	1	0.0	5.0	16.239840897169206	-inf	-inf	-inf	2.807354922057604	2.807354922057604	0.0		2.321928094887362	0.0	0.0002632293080054274	True	1024.0	5.0	2.321928094887362	10.0
NP_002440	57729	0	0	0	4	5	4	0.0	4.333333333333333	15.817008614291714	-inf	-inf	-inf	2.0	2.321928094887362	2.0		2.115477217419936	0.0	0.00026594301221166894	True	1024.0	4.333333333333333	2.115477217419936	10.0
NP_060182	149614	0	0	0	6	6	5	0.0	5.666666666666667	17.190885654913366	-inf	-inf	-inf	2.584962500721156	2.584962500721156	2.321928094887362		2.5025003405291835	0.0	0.00026865671641791044	True	1024.0	5.666666666666667	2.5025003405291835	10.0
NP_001073027	36453	4	8	8	0	0	0	6.666666666666667	0.0	15.15374992954808	2.0	3.0	3.0	-inf	-inf	-inf	2.736965594166206		0.0	0.000271370420624152	True	0.0009765625	6.666666666666667	2.736965594166206	-10.0
NP_001073286	12165	5	6	5	0	0	0	5.333333333333333	0.0	13.570448699825793	2.321928094887362	2.584962500721156	2.321928094887362	-inf	-inf	-inf	2.415037499278844		0.0	0.0002740841248303935	True	0.0009765625	5.333333333333333	2.415037499278844	-10.0
NP_787080	183826	2	10	2	0	0	0	4.666666666666667	0.0	17.48798130753961	1.0	3.3219280948873626	1.0	-inf	-inf	-inf	2.222392421336448		0.0	0.00027679782903663504	True	0.0009765625	4.666666666666667	2.222392421336448	-10.0
NP_002419	38455	2	2	4	0	0	0	2.6666666666666665	0.0	15.230883572176825	1.0	1.0	2.0	-inf	-inf	-inf	1.4150374992788437		0.0	0.00027951153324287653	True	0.0009765625	2.6666666666666665	1.4150374992788437	-10.0
NP_001073867	18345	0	0	0	2	2	3	0.0	2.3333333333333335	14.163099284135905	-inf	-inf	-inf	1.0	1.0	1.5849625007211563		1.222392421336448	0.0	0.0002822252374491181	True	1024.0	2.3333333333333335	1.222392421336448	10.0
NP_001073883	12238	0	0	0	2	5	1	0.0	2.6666666666666665	13.579080183834758	-inf	-inf	-inf	1.0	2.321928094887362	0.0		1.4150374992788437	0.0	0.0002849389416553596	True	1024.0	2.6666666666666665	1.4150374992788437	10.0
NP_001073910	24506	0	0	0	1	2	2	0.0	1.6666666666666667	14.58084739859277	-inf	-inf	-inf	0.0	1.0	1.0		0.7369655941662062	0.0	0.0002876526458616011	True	1024.0	1.6666666666666667	0.7369655941662062	10.0
NP_001073988	12277	2	2	1	0	0	0	1.6666666666666667	0.0	13.583670447270272	1.0	1.0	0.0	-inf	-inf	-inf	0.7369655941662062		0.0	0.0002903663500678426	True	0.0009765625	1.6666666666666667	0.7369655941662062	-10.0
NP_002398	76690	0	0	0	12	10	15	0.0	12.333333333333334	16.22675084918157	-inf	-inf	-inf	3.5849625007211565	3.3219280948873626	3.9068905956085187		3.6244908649077936	0.0	0.0002930800542740841	True	1024.0	12.333333333333334	3.6244908649077936	10.0
NP_060705	151482	0	0	0	3	3	1	0.0	2.3333333333333335	17.20878684863971	-inf	-inf	-inf	1.5849625007211563	1.5849625007211563	0.0		1.222392421336448	0.0	0.00029579375848032567	True	1024.0	2.3333333333333335	1.222392421336448	10.0
NP_001121100	21642	0	0	0	3	5	2	0.0	3.3333333333333335	14.401546208508726	-inf	-inf	-inf	1.5849625007211563	2.321928094887362	1.0		1.7369655941662063	0.0	0.00029850746268656717	True	1024.0	3.3333333333333335	1.7369655941662063	10.0
NP_001093115	39899	0	0	0	20	21	23	0.0	21.333333333333332	15.28406496777351	-inf	-inf	-inf	4.321928094887363	4.392317422778761	4.523561956057013		4.415037499278844	0.0	0.0003012211668928087	True	1024.0	21.333333333333332	4.415037499278844	10.0
NP_002061	108699	0	0	0	2	2	15	0.0	6.333333333333333	16.729979142477497	-inf	-inf	-inf	1.0	1.0	3.9068905956085187		2.662965012722429	0.0	0.0003039348710990502	True	1024.0	6.333333333333333	2.662965012722429	10.0
