protein	Sample1_01	Sample1_02	Sample1_03	Sample2_01	Sample2_02	Sample2_03	Sample1	Sample2	Sample1_01-log2	Sample1_02-log2	Sample1_03-log2	Sample2_01-log2	Sample2_02-log2	Sample2_03-log2	Sample1-log2	Sample2-log2	ratio	sum	log2_sum	log2_ratio
NP_000166	10	10	4	7	6	10	10.0	7.0	3.3219280948873626	3.3219280948873626	2.0	2.807354922057604	2.584962500721156	3.3219280948873626	3.3219280948873626	2.807354922057604	0.7	17.0	4.08746284125034	-0.5145731728297583
NP_000168	2	3	2	6	6	7	2.0	6.0	1.0	1.5849625007211563	1.0	2.584962500721156	2.584962500721156	2.807354922057604	1.0	2.584962500721156	3.0	8.0	3.0	1.5849625007211563
NP_000170	2	2	2	0	0	0	2.0	0.0	1.0	1.0	1.0	-inf	-inf	-inf	1.0		0.0009765625	2.0	1.0	-10.0
NP_000172	1	0	0	4	7	9	1.0	4.0	0.0	-inf	-inf	2.0	2.807354922057604	3.1699250014423126	0.0	2.0	4.0	5.0	2.321928094887362	2.0
NP_000173	12	10	8	42	55	56	12.0	42.0	3.5849625007211565	3.3219280948873626	3.0	5.392317422778761	5.78135971352466	5.807354922057605	3.5849625007211565	5.392317422778761	3.5	54.0	5.754887502163469	1.8073549220576042
NP_000174	0	5	6	36	25	35	0.0	36.0	-inf	2.321928094887362	2.584962500721156	5.169925001442312	4.643856189774724	5.129283016944966		5.169925001442312	1024.0	36.0	5.169925001442312	10.0
NP_000179	2	0	2	3	14	7	2.0	3.0	1.0	-inf	1.0	1.5849625007211563	3.8073549220576037	2.807354922057604	1.0	1.5849625007211563	1.5	5.0	2.321928094887362	0.5849625007211562
NP_000185	71	81	67	47	55	55	71.0	47.0	6.149747119504682	6.339850002884625	6.066089190457772	5.554588851677638	5.78135971352466	5.78135971352466	6.149747119504682	5.554588851677638	0.6619718309859155	118.0	6.882643049361842	-0.5951582678270446
NP_000201	9	8	5	0	0	0	9.0	0.0	3.1699250014423126	3.0	2.321928094887362	-inf	-inf	-inf	3.1699250014423126		0.0009765625	9.0	3.1699250014423126	-10.0
NP_000215	20	24	13	324	334	351	20.0	324.0	4.321928094887363	4.584962500721157	3.700439718141092	8.339850002884624	8.383704292474054	8.45532722030456	4.321928094887363	8.339850002884624	16.2	344.0	8.426264754702098	4.017921907997263
NP_000217	301	285	306	277	266	260	301.0	277.0	8.233619676759702	8.154818109052105	8.257387842692651	8.113742166049189	8.05528243550119	8.022367813028454	8.233619676759702	8.113742166049189	0.920265780730897	578.0	9.17492568250068	-0.11987751071051367
NP_000230	55	1	7	6	7	3	55.0	6.0	5.78135971352466	0.0	2.807354922057604	2.584962500721156	2.807354922057604	1.5849625007211563	5.78135971352466	2.584962500721156	0.10909090909090909	61.0	5.930737337562887	-3.1963972128035034
NP_000237	3	2	3	14	0	3	3.0	14.0	1.5849625007211563	1.0	1.5849625007211563	3.8073549220576037	-inf	1.5849625007211563	1.5849625007211563	3.8073549220576037	4.666666666666667	17.0	4.08746284125034	2.222392421336448
NP_000249	0	0	0	14	14	12	0.0	14.0	-inf	-inf	-inf	3.8073549220576037	3.8073549220576037	3.5849625007211565		3.8073549220576037	1024.0	14.0	3.8073549220576037	10.0
NP_000260	15	26	12	11	17	18	15.0	11.0	3.9068905956085187	4.700439718141093	3.5849625007211565	3.4594316186372978	4.08746284125034	4.169925001442312	3.9068905956085187	3.4594316186372978	0.7333333333333333	26.0	4.700439718141093	-0.44745897697122144
NP_000261	40	111	35	0	0	0	40.0	0.0	5.321928094887363	6.794415866350106	5.129283016944966	-inf	-inf	-inf	5.321928094887363		0.0009765625	40.0	5.321928094887363	-10.0
NP_000265	12	19	16	10	10	16	12.0	10.0	3.5849625007211565	4.247927513443585	4.0	3.3219280948873626	3.3219280948873626	4.0	3.5849625007211565	3.3219280948873626	0.8333333333333334	22.0	4.459431618637297	-0.2630344058337938
NP_000272	21	13	7	41	89	82	21.0	41.0	4.392317422778761	3.700439718141092	2.807354922057604	5.357552004618084	6.475733430966398	6.357552004618085	4.392317422778761	5.357552004618084	1.9523809523809523	62.0	5.954196310386876	0.9652345818393234
NP_000275	2	1	3	13	12	13	2.0	13.0	1.0	0.0	1.5849625007211563	3.700439718141092	3.5849625007211565	3.700439718141092	1.0	3.700439718141092	6.5	15.0	3.9068905956085187	2.700439718141092
NP_000280	0	0	0	1	1	2	0.0	1.0	-inf	-inf	-inf	0.0	0.0	1.0		0.0	1024.0	1.0	0.0	10.0
NP_000281	0	0	0	6	6	11	0.0	6.0	-inf	-inf	-inf	2.584962500721156	2.584962500721156	3.4594316186372978		2.584962500721156	1024.0	6.0	2.584962500721156	10.0
NP_000282	135	160	132	149	168	171	135.0	149.0	7.076815597050832	7.321928094887362	7.044394119358453	7.219168520462162	7.392317422778761	7.417852514885899	7.076815597050832	7.219168520462162	1.1037037037037036	284.0	8.149747119504683	0.14235292341133057
NP_000292	6	3	4	2	7	7	6.0	2.0	2.584962500721156	1.5849625007211563	2.0	1.0	2.807354922057604	2.807354922057604	2.584962500721156	1.0	0.3333333333333333	8.0	3.0	-1.5849625007211563
NP_000294	31	40	31	31	26	44	31.0	31.0	4.954196310386876	5.321928094887363	4.954196310386876	4.954196310386876	4.700439718141093	5.459431618637297	4.954196310386876	4.954196310386876	1.0	62.0	5.954196310386876	0.0
NP_000299	37	35	28	22	33	36	37.0	22.0	5.20945336562895	5.129283016944966	4.807354922057604	4.459431618637297	5.044394119358453	5.169925001442312	5.20945336562895	4.459431618637297	0.5945945945945946	59.0	5.882643049361842	-0.7500217469916525
NP_000301	6	21	4	11	8	13	6.0	11.0	2.584962500721156	4.392317422778761	2.0	3.4594316186372978	3.0	3.700439718141092	2.584962500721156	3.4594316186372978	1.8333333333333333	17.0	4.08746284125034	0.874469117916141
NP_000308	0	0	0	4	3	1	0.0	4.0	-inf	-inf	-inf	2.0	1.5849625007211563	0.0		2.0	1024.0	4.0	2.0	10.0
NP_000311	21	32	23	41	37	43	21.0	41.0	4.392317422778761	5.0	4.523561956057013	5.357552004618084	5.20945336562895	5.426264754702098	4.392317422778761	5.357552004618084	1.9523809523809523	62.0	5.954196310386876	0.9652345818393234
NP_000336	4	2	3	3	2	1	4.0	3.0	2.0	1.0	1.5849625007211563	1.5849625007211563	1.0	0.0	2.0	1.5849625007211563	0.75	7.0	2.807354922057604	-0.4150374992788438
NP_000353	5	6	5	0	0	0	5.0	0.0	2.321928094887362	2.584962500721156	2.321928094887362	-inf	-inf	-inf	2.321928094887362		0.0009765625	5.0	2.321928094887362	-10.0
NP_000356	159	207	178	187	206	254	159.0	187.0	7.312882955284356	7.693486957499325	7.475733430966398	7.546894459887637	7.6865005271832185	7.988684686772166	7.312882955284356	7.546894459887637	1.1761006289308176	346.0	8.434628227636725	0.23401150460328127
NP_000357	1	0	0	2	1	4	1.0	2.0	0.0	-inf	-inf	1.0	0.0	2.0	0.0	1.0	2.0	3.0	1.5849625007211563	1.0
NP_000358	15	32	6	0	0	5	15.0	0.0	3.9068905956085187	5.0	2.584962500721156	-inf	-inf	2.321928094887362	3.9068905956085187		0.0009765625	15.0	3.9068905956085187	-10.0
NP_000389	20	52	15	0	1	0	20.0	0.0	4.321928094887363	5.700439718141093	3.9068905956085187	-inf	0.0	-inf	4.321928094887363		0.0009765625	20.0	4.321928094887363	-10.0
NP_000396	24	19	19	31	31	29	24.0	31.0	4.584962500721157	4.247927513443585	4.247927513443585	4.954196310386876	4.954196310386876	4.857980995127573	4.584962500721157	4.954196310386876	1.2916666666666667	55.0	5.78135971352466	0.3692338096657191
NP_000412	313	319	200	214	293	242	313.0	214.0	8.290018846932618	8.31741261376487	7.643856189774724	7.7414669864011465	8.194756854422248	7.9188632372745955	8.290018846932618	7.7414669864011465	0.6837060702875399	527.0	9.041659151637216	-0.5485518605314713
NP_000413	8	3	2	3	1	2	8.0	3.0	3.0	1.5849625007211563	1.0	1.5849625007211563	0.0	1.0	3.0	1.5849625007211563	0.375	11.0	3.4594316186372978	-1.4150374992788437
NP_000414	185	206	146	126	187	144	185.0	126.0	7.531381460516312	7.6865005271832185	7.189824558880018	6.977279923499917	7.546894459887637	7.169925001442313	7.531381460516312	6.977279923499917	0.6810810810810811	311.0	8.280770770130603	-0.5541015370163956
NP_000415	145	83	63	34	50	47	145.0	34.0	7.1799090900149345	6.375039431346925	5.977279923499917	5.08746284125034	5.643856189774724	5.554588851677638	7.1799090900149345	5.08746284125034	0.23448275862068965	179.0	7.483815777264256	-2.0924462487645954
NP_000423	0	0	0	15	16	14	0.0	15.0	-inf	-inf	-inf	3.9068905956085187	4.0	3.8073549220576037		3.9068905956085187	1024.0	15.0	3.9068905956085187	10.0
NP_000436	25	32	9	72	58	86	25.0	72.0	4.643856189774724	5.0	3.1699250014423126	6.169925001442312	5.857980995127572	6.426264754702098	4.643856189774724	6.169925001442312	2.88	97.0	6.599912842187128	1.5260688116675876
NP_000445	158	121	119	160	195	199	158.0	160.0	7.303780748177103	6.9188632372745955	6.894817763307944	7.321928094887362	7.607330313749611	7.636624620543649	7.303780748177103	7.321928094887362	1.0126582278481013	318.0	8.312882955284357	0.01814734671025952
NP_000467	77	96	77	79	94	87	77.0	79.0	6.266786540694902	6.584962500721156	6.266786540694902	6.303780748177103	6.554588851677638	6.442943495848729	6.266786540694902	6.303780748177103	1.025974025974026	156.0	7.285402218862249	0.03699420748220157
NP_000468	67	6	2	9	10	3	67.0	9.0	6.066089190457772	2.584962500721156	1.0	3.1699250014423126	3.3219280948873626	1.5849625007211563	6.066089190457772	3.1699250014423126	0.13432835820895522	76.0	6.247927513443586	-2.89616418901546
NP_000475	1	1	2	0	1	1	1.0	0.0	0.0	0.0	1.0	-inf	0.0	0.0	0.0		0.0009765625	1.0	0.0	-10.0
NP_000476	110	93	87	89	91	98	110.0	89.0	6.78135971352466	6.539158811108032	6.442943495848729	6.475733430966398	6.507794640198696	6.614709844115209	6.78135971352466	6.475733430966398	0.8090909090909091	199.0	7.636624620543649	-0.30562628255826185
NP_000482	2	3	2	2	4	8	2.0	2.0	1.0	1.5849625007211563	1.0	1.0	2.0	3.0	1.0	1.0	1.0	4.0	2.0	0.0
NP_000497	3	6	1	22	26	23	3.0	22.0	1.5849625007211563	2.584962500721156	0.0	4.459431618637297	4.700439718141093	4.523561956057013	1.5849625007211563	4.459431618637297	7.333333333333333	25.0	4.643856189774724	2.8744691179161412
NP_000500	10	13	13	21	13	16	10.0	21.0	3.3219280948873626	3.700439718141092	3.700439718141092	4.392317422778761	3.700439718141092	4.0	3.3219280948873626	4.392317422778761	2.1	31.0	4.954196310386876	1.070389327891398
NP_000509	17	6	7	10	12	8	17.0	10.0	4.08746284125034	2.584962500721156	2.807354922057604	3.3219280948873626	3.5849625007211565	3.0	4.08746284125034	3.3219280948873626	0.5882352941176471	27.0	4.754887502163469	-0.765534746362977
NP_000510	21	8	24	14	5	9	21.0	14.0	4.392317422778761	3.0	4.584962500721157	3.8073549220576037	2.321928094887362	3.1699250014423126	4.392317422778761	3.8073549220576037	0.6666666666666666	35.0	5.129283016944966	-0.5849625007211563
NP_000512	30	59	42	37	38	49	30.0	37.0	4.906890595608519	5.882643049361842	5.392317422778761	5.20945336562895	5.247927513443585	5.614709844115208	4.906890595608519	5.20945336562895	1.2333333333333334	67.0	6.066089190457772	0.3025627700204313
NP_000517	32	21	10	9	7	7	32.0	9.0	5.0	4.392317422778761	3.3219280948873626	3.1699250014423126	2.807354922057604	2.807354922057604	5.0	3.1699250014423126	0.28125	41.0	5.357552004618084	-1.8300749985576878
NP_000519	21	13	18	19	27	25	21.0	19.0	4.392317422778761	3.700439718141092	4.169925001442312	4.247927513443585	4.754887502163469	4.643856189774724	4.392317422778761	4.247927513443585	0.9047619047619048	40.0	5.321928094887363	-0.1443899093351748
NP_000521	4	11	8	18	18	16	4.0	18.0	2.0	3.4594316186372978	3.0	4.169925001442312	4.169925001442312	4.0	2.0	4.169925001442312	4.5	22.0	4.459431618637297	2.1699250014423126
NP_000531	1	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0	-inf	-inf	-inf	0.0		0.0009765625	1.0	0.0	-10.0
NP_000549	205	234	301	199	225	199	205.0	199.0	7.679480099505446	7.870364719583405	8.233619676759702	7.636624620543649	7.813781191217037	7.636624620543649	7.679480099505446	7.636624620543649	0.9707317073170731	404.0	8.658211482751796	-0.04285547896179724
NP_000552	28	27	15	44	55	60	28.0	44.0	4.807354922057604	4.754887502163469	3.9068905956085187	5.459431618637297	5.78135971352466	5.906890595608519	4.807354922057604	5.459431618637297	1.5714285714285714	72.0	6.169925001442312	0.6520766965796931
NP_000568	13	0	0	24	23	26	13.0	24.0	3.700439718141092	-inf	-inf	4.584962500721157	4.523561956057013	4.700439718141093	3.700439718141092	4.584962500721157	1.8461538461538463	37.0	5.20945336562895	0.8845227825800641
NP_000572	58	76	62	80	90	89	58.0	80.0	5.857980995127572	6.247927513443586	5.954196310386876	6.321928094887362	6.491853096329675	6.475733430966398	5.857980995127572	6.321928094887362	1.3793103448275863	138.0	7.10852445677817	0.4639470997597903
NP_000588	0	0	0	13	8	7	0.0	13.0	-inf	-inf	-inf	3.700439718141092	3.0	2.807354922057604		3.700439718141092	1024.0	13.0	3.700439718141092	10.0
NP_000590	0	0	1	79	107	107	0.0	79.0	-inf	-inf	0.0	6.303780748177103	6.7414669864011465	6.7414669864011465		6.303780748177103	1024.0	79.0	6.303780748177103	10.0
NP_000601	0	2	1	4	3	3	0.0	4.0	-inf	1.0	0.0	2.0	1.5849625007211563	1.5849625007211563		2.0	1024.0	4.0	2.0	10.0
NP_000627	16	11	12	75	86	79	16.0	75.0	4.0	3.4594316186372978	3.5849625007211565	6.22881869049588	6.426264754702098	6.303780748177103	4.0	6.22881869049588	4.6875	91.0	6.507794640198696	2.228818690495881
NP_000628	2	0	0	3	4	4	2.0	3.0	1.0	-inf	-inf	1.5849625007211563	2.0	2.0	1.0	1.5849625007211563	1.5	5.0	2.321928094887362	0.5849625007211562
NP_000629	1	0	0	1	1	2	1.0	1.0	0.0	-inf	-inf	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0
NP_000662	5	6	11	2	6	2	5.0	2.0	2.321928094887362	2.584962500721156	3.4594316186372978	1.0	2.584962500721156	1.0	2.321928094887362	1.0	0.4	7.0	2.807354922057604	-1.3219280948873622
NP_000678	9	14	13	11	11	8	9.0	11.0	3.1699250014423126	3.8073549220576037	3.700439718141092	3.4594316186372978	3.4594316186372978	3.0	3.1699250014423126	3.4594316186372978	1.2222222222222223	20.0	4.321928094887363	0.28950661719498505
NP_000681	0	0	0	19	21	19	0.0	19.0	-inf	-inf	-inf	4.247927513443585	4.392317422778761	4.247927513443585		4.247927513443585	1024.0	19.0	4.247927513443585	10.0
NP_000691	111	12	0	5	2	5	111.0	5.0	6.794415866350106	3.5849625007211565	-inf	2.321928094887362	1.0	2.321928094887362	6.794415866350106	2.321928094887362	0.04504504504504504	116.0	6.857980995127572	-4.472487771462744
NP_000692	0	3	0	3	3	7	0.0	3.0	-inf	1.5849625007211563	-inf	1.5849625007211563	1.5849625007211563	2.807354922057604		1.5849625007211563	1024.0	3.0	1.5849625007211563	10.0
NP_000704	65	89	81	180	193	209	65.0	180.0	6.022367813028454	6.475733430966398	6.339850002884625	7.491853096329675	7.592457037268081	7.7073591320808825	6.022367813028454	7.491853096329675	2.769230769230769	245.0	7.936637939002572	1.4694852833012202
NP_000705	20	19	30	41	34	32	20.0	41.0	4.321928094887363	4.247927513443585	4.906890595608519	5.357552004618084	5.08746284125034	5.0	4.321928094887363	5.357552004618084	2.05	61.0	5.930737337562887	1.0356239097307214
NP_000745	135	150	136	132	118	124	135.0	132.0	7.076815597050832	7.22881869049588	7.08746284125034	7.044394119358453	6.882643049361842	6.954196310386876	7.076815597050832	7.044394119358453	0.9777777777777777	267.0	8.060695931687555	-0.03242147769237751
NP_000746	0	0	0	2	3	5	0.0	2.0	-inf	-inf	-inf	1.0	1.5849625007211563	2.321928094887362		1.0	1024.0	2.0	1.0	10.0
NP_000779	17	25	17	0	0	5	17.0	0.0	4.08746284125034	4.643856189774724	4.08746284125034	-inf	-inf	2.321928094887362	4.08746284125034		0.0009765625	17.0	4.08746284125034	-10.0
NP_000782	14	15	15	27	32	29	14.0	27.0	3.8073549220576037	3.9068905956085187	3.9068905956085187	4.754887502163469	5.0	4.857980995127573	3.8073549220576037	4.754887502163469	1.9285714285714286	41.0	5.357552004618084	0.9475325801058645
NP_000837	2	2	2	0	1	0	2.0	0.0	1.0	1.0	1.0	-inf	0.0	-inf	1.0		0.0009765625	2.0	1.0	-10.0
NP_000840	57	70	45	57	52	60	57.0	57.0	5.832890014164742	6.129283016944967	5.491853096329675	5.832890014164742	5.700439718141093	5.906890595608519	5.832890014164742	5.832890014164742	1.0	114.0	6.832890014164742	0.0
NP_000841	2	1	0	3	5	7	2.0	3.0	1.0	0.0	-inf	1.5849625007211563	2.321928094887362	2.807354922057604	1.0	1.5849625007211563	1.5	5.0	2.321928094887362	0.5849625007211562
NP_000842	1	1	0	4	3	4	1.0	4.0	0.0	0.0	-inf	2.0	1.5849625007211563	2.0	0.0	2.0	4.0	5.0	2.321928094887362	2.0
NP_000843	209	237	186	7	6	6	209.0	7.0	7.7073591320808825	7.88874324889826	7.539158811108032	2.807354922057604	2.584962500721156	2.584962500721156	7.7073591320808825	2.807354922057604	0.03349282296650718	216.0	7.754887502163469	-4.900004210023279
NP_000844	1	2	1	29	29	28	1.0	29.0	0.0	1.0	0.0	4.857980995127573	4.857980995127573	4.807354922057604	0.0	4.857980995127573	29.0	30.0	4.906890595608519	4.857980995127573
NP_000845	6	12	5	8	9	6	6.0	8.0	2.584962500721156	3.5849625007211565	2.321928094887362	3.0	3.1699250014423126	2.584962500721156	2.584962500721156	3.0	1.3333333333333333	14.0	3.8073549220576037	0.4150374992788437
NP_000875	11	8	12	62	65	64	11.0	62.0	3.4594316186372978	3.0	3.5849625007211565	5.954196310386876	6.022367813028454	6.0	3.4594316186372978	5.954196310386876	5.636363636363637	73.0	6.189824558880018	2.494764691749578
NP_000886	1	0	0	5	5	4	1.0	5.0	0.0	-inf	-inf	2.321928094887362	2.321928094887362	2.0	0.0	2.321928094887362	5.0	6.0	2.584962500721156	2.321928094887362
NP_000889	0	1	0	3	4	2	0.0	3.0	-inf	0.0	-inf	1.5849625007211563	2.0	1.0		1.5849625007211563	1024.0	3.0	1.5849625007211563	10.0
NP_000891	51	58	37	87	95	93	51.0	87.0	5.672425341971496	5.857980995127572	5.20945336562895	6.442943495848729	6.569855608330948	6.539158811108032	5.672425341971496	6.442943495848729	1.7058823529411764	138.0	7.10852445677817	0.7705181538772327
NP_000895	8	15	7	19	15	20	8.0	19.0	3.0	3.9068905956085187	2.807354922057604	4.247927513443585	3.9068905956085187	4.321928094887363	3.0	4.247927513443585	2.375	27.0	4.754887502163469	1.2479275134435854
NP_000909	27	15	11	10	12	19	27.0	10.0	4.754887502163469	3.9068905956085187	3.4594316186372978	3.3219280948873626	3.5849625007211565	4.247927513443585	4.754887502163469	3.3219280948873626	0.37037037037037035	37.0	5.20945336562895	-1.4329594072761063
NP_000916	0	2	0	11	12	14	0.0	11.0	-inf	1.0	-inf	3.4594316186372978	3.5849625007211565	3.8073549220576037		3.4594316186372978	1024.0	11.0	3.4594316186372978	10.0
NP_000933	324	327	289	262	277	276	324.0	262.0	8.339850002884624	8.353146825498083	8.17492568250068	8.03342300153745	8.113742166049189	8.108524456778168	8.339850002884624	8.03342300153745	0.808641975308642	586.0	9.194756854422247	-0.3064270013471744
NP_000934	27	29	22	17	16	14	27.0	17.0	4.754887502163469	4.857980995127573	4.459431618637297	4.08746284125034	4.0	3.8073549220576037	4.754887502163469	4.08746284125034	0.6296296296296297	44.0	5.459431618637297	-0.6674246609131291
NP_000936	51	38	59	45	42	57	51.0	45.0	5.672425341971496	5.247927513443585	5.882643049361842	5.491853096329675	5.392317422778761	5.832890014164742	5.672425341971496	5.491853096329675	0.8823529411764706	96.0	6.584962500721156	-0.18057224564182092
NP_000958	73	73	72	60	47	50	73.0	60.0	6.189824558880018	6.189824558880018	6.169925001442312	5.906890595608519	5.554588851677638	5.643856189774724	6.189824558880018	5.906890595608519	0.821917808219178	133.0	7.05528243550119	-0.2829339632714988
NP_000959	67	76	65	43	39	43	67.0	43.0	6.066089190457772	6.247927513443586	6.022367813028454	5.426264754702098	5.285402218862249	5.426264754702098	6.066089190457772	5.426264754702098	0.6417910447761194	110.0	6.78135971352466	-0.6398244357556746
NP_000960	22	35	20	17	16	10	22.0	17.0	4.459431618637297	5.129283016944966	4.321928094887363	4.08746284125034	4.0	3.3219280948873626	4.459431618637297	4.08746284125034	0.7727272727272727	39.0	5.285402218862249	-0.3719687773869579
NP_000961	41	34	34	24	28	23	41.0	24.0	5.357552004618084	5.08746284125034	5.08746284125034	4.584962500721157	4.807354922057604	4.523561956057013	5.357552004618084	4.584962500721157	0.5853658536585366	65.0	6.022367813028454	-0.7725895038969276
NP_000962	89	113	75	52	50	55	89.0	52.0	6.475733430966398	6.820178962415189	6.22881869049588	5.700439718141093	5.643856189774724	5.78135971352466	6.475733430966398	5.700439718141093	0.5842696629213483	141.0	7.139551352398794	-0.7752937128253057
NP_000963	81	117	81	33	45	63	81.0	33.0	6.339850002884625	6.870364719583405	6.339850002884625	5.044394119358453	5.491853096329675	5.977279923499917	6.339850002884625	5.044394119358453	0.4074074074074074	114.0	6.832890014164742	-1.2954558835261714
NP_000966	112	86	101	104	123	121	112.0	104.0	6.807354922057604	6.426264754702098	6.6582114827517955	6.700439718141092	6.94251450533924	6.9188632372745955	6.807354922057604	6.700439718141092	0.9285714285714286	216.0	7.754887502163469	-0.10691520391651191
NP_000967	95	115	95	94	106	107	95.0	94.0	6.569855608330948	6.845490050944376	6.569855608330948	6.554588851677638	6.727920454563199	6.7414669864011465	6.569855608330948	6.554588851677638	0.9894736842105263	189.0	7.562242424221073	-0.015266756653310518
NP_000968	107	125	105	76	90	99	107.0	76.0	6.7414669864011465	6.965784284662088	6.714245517666122	6.247927513443586	6.491853096329675	6.6293566200796095	6.7414669864011465	6.247927513443586	0.7102803738317757	183.0	7.515699838284044	-0.49353947295756156
NP_000969	145	150	171	242	231	226	145.0	242.0	7.1799090900149345	7.22881869049588	7.417852514885899	7.9188632372745955	7.851749041416057	7.820178962415189	7.1799090900149345	7.9188632372745955	1.6689655172413793	387.0	8.59618975614441	0.73895414725966
NP_000970	122	134	124	95	115	117	122.0	95.0	6.930737337562887	7.066089190457772	6.954196310386876	6.569855608330948	6.845490050944376	6.870364719583405	6.930737337562887	6.569855608330948	0.7786885245901639	217.0	7.7615512324444795	-0.3608817292319385
NP_000971	168	154	151	138	144	142	168.0	138.0	7.392317422778761	7.266786540694902	7.238404739325079	7.10852445677817	7.169925001442313	7.149747119504682	7.392317422778761	7.10852445677817	0.8214285714285714	306.0	8.257387842692651	-0.2837929660005913
NP_000972	52	75	55	38	39	46	52.0	38.0	5.700439718141093	6.22881869049588	5.78135971352466	5.247927513443585	5.285402218862249	5.523561956057013	5.700439718141093	5.247927513443585	0.7307692307692307	90.0	6.491853096329675	-0.4525122046975068
